Pos,Clinical_significance_ENIGMA,mupit_structure,proteinPrior,Clinical_Significance_ClinVar
32314514,-,-,N/A,-
32314585,-,-,N/A,-
32314680,-,-,N/A,-
32314690,-,-,N/A,-
32314783,-,-,N/A,-
32314838,-,-,N/A,-
32314852,-,-,-,-
32314943,Benign,-,N/A,Benign
32315007,-,-,N/A,-
32315035,-,-,N/A,-
32315077,-,-,N/A,-
32315115,-,-,N/A,-
32315185,-,-,-,-
32315212,-,-,N/A,-
32315226,Benign,-,N/A,Benign
32315289,-,-,N/A,-
32315300,-,-,N/A,-
32315312,-,-,N/A,-
32315350,-,-,N/A,-
32315411,-,-,N/A,-
32315424,-,-,-,-
32315439,-,-,N/A,-
32315456,-,-,N/A,-
32315489,-,-,N/A,-
32315490,-,-,N/A,-
32315497,-,-,N/A,Uncertain_significance
32315507,-,-,N/A,-
32315510,-,-,N/A,-
32315511,-,-,N/A,Uncertain_significance
32315519,-,-,N/A,Uncertain_significance
32315532,Benign,-,N/A,"Benign,Likely_benign"
32315537,-,-,N/A,-
32315545,Benign,-,N/A,Benign
32315574,-,-,N/A,-
32315584,-,-,N/A,-
32315619,-,-,N/A,-
32315620,-,-,N/A,-
32315625,-,-,N/A,-
32315632,-,-,N/A,-
32315643,-,-,N/A,-
32315645,Benign,-,-,"Benign,Likely_benign"
32315647,-,-,N/A,Likely_benign
32315651,-,-,N/A,Likely_benign
32315652,-,-,-,Likely_benign
32315655,Benign,-,N/A,Benign
32315655,-,-,-,Likely_benign
32315656,-,-,N/A,"Uncertain_significance,Likely_benign"
32315663,-,-,-,Likely_benign
32315665,-,-,-,Uncertain_significance
32315666,-,-,-,"Likely_benign,Uncertain_significance"
32315667,-,-,-,Uncertain_significance
32315667,-,-,-,Uncertain_significance
32315668,-,-,N/A,-
32315672,-,-,N/A,Uncertain_significance
32315674,-,-,N/A,Likely_benign
32315674,-,-,N/A,Uncertain_significance
32315675,-,-,N/A,-
32315728,-,-,N/A,-
32315731,-,-,N/A,-
32315742,-,-,N/A,-
32315831,Benign,-,N/A,Benign
32315851,-,-,N/A,-
32315859,Benign,-,N/A,Benign
32315889,Benign,-,N/A,Benign
32315895,-,-,N/A,-
32315897,-,-,N/A,-
32315922,-,-,N/A,-
32315981,-,-,N/A,-
32316007,-,-,N/A,-
32316027,Benign,-,N/A,Benign
32316041,-,-,N/A,-
32316075,-,-,N/A,-
32316090,Benign,-,N/A,Benign
32316106,-,-,N/A,-
32316108,-,-,-,-
32316125,-,-,N/A,-
32316181,-,-,N/A,-
32316202,-,-,N/A,-
32316211,-,-,N/A,-
32316246,-,-,N/A,-
32316292,-,-,N/A,-
32316296,-,-,N/A,-
32316306,-,-,N/A,-
32316307,-,-,N/A,-
32316308,-,-,N/A,-
